Feature Name,Description,Data Type,Input Type,Answer Options
category_Sociodemographics_ts_Number.of.vehicles.in.household...Instance.0_4,"How many cars or vans are owned, or available for use, by you or members of your household? (Please include company vehicles if available for private use)",logical,Select one answer,4 : Three
category_Sociodemographics_ts_Average.total.household.income.before.tax...Instance.0_1,What is the average total income before tax received by your HOUSEHOLD?,logical,Select one answer,"1 : Less than A18,000"
category_Sociodemographics_ts_Average.total.household.income.before.tax...Instance.0_4,What is the average total income before tax received by your HOUSEHOLD?,logical,Select one answer,"4 : A52,000 to A100,000"
category_Sociodemographics_ts_Average.total.household.income.before.tax...Instance.0_3,What is the average total income before tax received by your HOUSEHOLD?,logical,Select one answer,"3 : A31,000 to A51,999"
category_Sociodemographics_ts_Average.total.household.income.before.tax...Instance.0_2,What is the average total income before tax received by your HOUSEHOLD?,logical,Select one answer,"2 : A18,000 to A30,999"
category_Sociodemographics_ts_Average.total.household.income.before.tax...Instance.0_5,What is the average total income before tax received by your HOUSEHOLD?,logical,Select one answer,"5 : Greater than A100,000"
category_Sociodemographics_ts_Current.employment.status...Instance.0_1,Which of the following describes your current situation? (You can select more than one answer),logical,Toggle multiple answer,1 : In paid employment or self-employed
category_Sociodemographics_ts_Current.employment.status...Instance.0_3,Which of the following describes your current situation? (You can select more than one answer),logical,Toggle multiple answer,3 : Looking after home and/or family
category_Sociodemographics_ts_Current.employment.status...Instance.0_2,Which of the following describes your current situation? (You can select more than one answer),logical,Toggle multiple answer,2 : Retired
category_Sociodemographics_ts_Current.employment.status...Instance.0_4,Which of the following describes your current situation? (You can select more than one answer),logical,Toggle multiple answer,4 : Unable to work because of sickness or disability
category_Sociodemographics_ts_Current.employment.status...Instance.0_7,Which of the following describes your current situation? (You can select more than one answer),logical,Toggle multiple answer,7 : Full or part-time student
category_Sociodemographics_ts_Current.employment.status...Instance.0_neg7,Which of the following describes your current situation? (You can select more than one answer),logical,Select one answer,-7 : None of the above
category_Sociodemographics_ts_Frequency.of.travelling.from.home.to.job.workplace...Instance.0_Lower.third,"How many times a WEEK do you travel from home to your main work?
(count outward journeys only; put 0 if you always work from home)",logical,Enter integer answer,
category_Sociodemographics_ts_Frequency.of.travelling.from.home.to.job.workplace...Instance.0_Middle.third,"How many times a WEEK do you travel from home to your main work?
(count outward journeys only; put 0 if you always work from home)",logical,Enter integer answer,
category_Sociodemographics_ts_Distance.between.home.and.job.workplace...Instance.0_Lower.third,About how many miles is it between your home and your work?,logical,Enter integer answer,
category_Sociodemographics_ts_Distance.between.home.and.job.workplace...Instance.0_Upper.third,About how many miles is it between your home and your work?,logical,Enter integer answer,
category_Sociodemographics_ts_Distance.between.home.and.job.workplace...Instance.0_Middle.third,About how many miles is it between your home and your work?,logical,Enter integer answer,
category_Sociodemographics_ts_Time.employed.in.main.current.job...Instance.0_Lower.third,"How many years have you worked in your current job? (If you have more than one job please answer this, and the following questions on work, for your MAIN job only)",logical,Enter integer answer,
category_Sociodemographics_ts_Time.employed.in.main.current.job...Instance.0_Upper.third,"How many years have you worked in your current job? (If you have more than one job please answer this, and the following questions on work, for your MAIN job only)",logical,Enter integer answer,
category_Sociodemographics_ts_Time.employed.in.main.current.job...Instance.0_Middle.third,"How many years have you worked in your current job? (If you have more than one job please answer this, and the following questions on work, for your MAIN job only)",logical,Enter integer answer,
category_Sociodemographics_ts_Length.of.working.week.for.main.job...Instance.0_Lower.third,"In a typical WEEK, how many hours do you spend at work?
(Do not include hours travelling to and from work)",logical,Enter integer answer,
category_Sociodemographics_ts_Length.of.working.week.for.main.job...Instance.0_Upper.third,"In a typical WEEK, how many hours do you spend at work?
(Do not include hours travelling to and from work)",logical,Enter integer answer,
category_Sociodemographics_ts_Length.of.working.week.for.main.job...Instance.0_Middle.third,"In a typical WEEK, how many hours do you spend at work?
(Do not include hours travelling to and from work)",logical,Enter integer answer,
category_Sociodemographics_ts_Transport.type.for.commuting.to.job.workplace...Instance.0_1,What types of transport do you use to get to and from work? (You can select more than one answer),logical,Toggle multiple answer,1 : Car/motor vehicle
category_Sociodemographics_ts_Transport.type.for.commuting.to.job.workplace...Instance.0_4,What types of transport do you use to get to and from work? (You can select more than one answer),logical,Toggle multiple answer,4 : Cycle
category_Sociodemographics_ts_Transport.type.for.commuting.to.job.workplace...Instance.0_3,What types of transport do you use to get to and from work? (You can select more than one answer),logical,Toggle multiple answer,3 : Public transport
category_Sociodemographics_ts_Transport.type.for.commuting.to.job.workplace...Instance.0_2,What types of transport do you use to get to and from work? (You can select more than one answer),logical,Toggle multiple answer,2 : Walk
category_Sociodemographics_ts_Transport.type.for.commuting.to.job.workplace...Instance.0_neg7,What types of transport do you use to get to and from work? (You can select more than one answer),logical,Select one answer,-7 : None of the above
category_Sociodemographics_ts_Job.involves.mainly.walking.or.standing...Instance.0_1,Does your work involve walking or standing for most of the time?,logical,Select one answer,1 : Never/rarely
category_Sociodemographics_ts_Job.involves.mainly.walking.or.standing...Instance.0_2,Does your work involve walking or standing for most of the time?,logical,Select one answer,2 : Sometimes
category_Sociodemographics_ts_Job.involves.mainly.walking.or.standing...Instance.0_4,Does your work involve walking or standing for most of the time?,logical,Select one answer,4 : Always
category_Sociodemographics_ts_Job.involves.heavy.manual.or.physical.work...Instance.0_1,Does your work involve heavy manual or physical work?,logical,Select one answer,1 : Never/rarely
category_Sociodemographics_ts_Job.involves.heavy.manual.or.physical.work...Instance.0_2,Does your work involve heavy manual or physical work?,logical,Select one answer,2 : Sometimes
category_Sociodemographics_ts_Job.involves.shift.work...Instance.0_1,Does your work involve shift work?,logical,Select one answer,1 : Never/rarely
category_Sociodemographics_ts_Job.involves.shift.work...Instance.0_4,Does your work involve shift work?,logical,Select one answer,4 : Always
category_Sociodemographics_ts_Job.involves.shift.work...Instance.0_2,Does your work involve shift work?,logical,Select one answer,2 : Sometimes
category_Sociodemographics_ts_Job.involves.shift.work...Instance.0_3,Does your work involve shift work?,logical,Select one answer,3 : Usually
category_Sociodemographics_ts_Job.involves.night.shift.work...Instance.0_2,Does your work involve night shifts?,logical,Select one answer,2 : Sometimes
category_Sociodemographics_ts_Job.involves.night.shift.work...Instance.0_1,Does your work involve night shifts?,logical,Select one answer,1 : Never/rarely
category_Sociodemographics_ts_Job.involves.night.shift.work...Instance.0_3,Does your work involve night shifts?,logical,Select one answer,3 : Usually
category_Sociodemographics_ts_Qualifications...Instance.0_1,"Which of the following qualifications do you have?
(You can select more than one)",logical,Toggle multiple answer,1 : College or University degree
category_Sociodemographics_ts_Qualifications...Instance.0_3,"Which of the following qualifications do you have?
(You can select more than one)",logical,Toggle multiple answer,3 : O levels/GCSEs or equivalent
category_Sociodemographics_ts_Qualifications...Instance.0_4,"Which of the following qualifications do you have?
(You can select more than one)",logical,Toggle multiple answer,4 : CSEs or equivalent
category_Sociodemographics_ts_Qualifications...Instance.0_2,"Which of the following qualifications do you have?
(You can select more than one)",logical,Toggle multiple answer,2 : A levels/AS levels or equivalent
category_Sociodemographics_ts_Qualifications...Instance.0_6,"Which of the following qualifications do you have?
(You can select more than one)",logical,Toggle multiple answer,"6 : Other professional qualifications eg: nursing, teaching"
category_Sociodemographics_ts_Qualifications...Instance.0_neg7,"Which of the following qualifications do you have?
(You can select more than one)",logical,Select one answer,-7 : None of the above
category_Sociodemographics_ts_Age.completed.full.time.education...Instance.0_Lower.third,At what age did you complete your continuous full time education?,logical,Enter integer answer,
category_Sociodemographics_ts_Age.completed.full.time.education...Instance.0_Upper.third,At what age did you complete your continuous full time education?,logical,Enter integer answer,
category_Sociodemographics_ts_Age.completed.full.time.education...Instance.0_Middle.third,At what age did you complete your continuous full time education?,logical,Enter integer answer,
category_Sociodemographics_ts_Year.immigrated.to.UK..United.Kingdom....Instance.0_Upper.third,What year did you first come to live in the United Kingdom?,logical,Enter integer answer,
category_Sociodemographics_ts_Ethnic.background...Instance.0_4002,What is your ethnic background?,logical,Select one answer,2 : African
category_Sociodemographics_ts_Ethnic.background...Instance.0_6,What is your ethnic group?,logical,Select one answer,6 : Other ethnic group
category_Sociodemographics_ts_Ethnic.background...Instance.0_3001,What is your ethnic background?,logical,Select one answer,1 :Indian
category_Sociodemographics_ts_Ethnic.background...Instance.0_1002,What is your ethnic background?,logical,Select one answer,2 : Irish
category_Sociodemographics_ts_Ethnic.background...Instance.0_5,What is your ethnic group?,logical,Select one answer,5 : Chinese
category_Sociodemographics_ts_Ethnic.background...Instance.0_4001,What is your ethnic background?,logical,Select one answer,1 : Caribbean
category_Sociodemographics_ts_Ethnic.background...Instance.0_1003,What is your ethnic background?,logical,Select one answer,3 : Any other white background
category_Sociodemographics_ts_Ethnic.background...Instance.0_2003,What is your ethnic background?,logical,Select one answer,3 : White and Asian
category_Sociodemographics_ts_Ethnic.background...Instance.0_3002,What is your ethnic background?,logical,Select one answer,2 :Pakistani
category_Sociodemographics_ts_Ethnic.background...Instance.0_1,What is your ethnic group?,logical,Select one answer,1 : White
category_Sociodemographics_ts_Attendance.disability.mobility.allowance...Instance.0_neg7,Do you receive any of the following? (You can select more than one answer),logical,Select one answer,-7 : None of the above
category_Sociodemographics_ts_Attendance.disability.mobility.allowance...Instance.0_2,Do you receive any of the following? (You can select more than one answer),logical,Toggle multiple answer,2 : Disability living allowance
category_Sociodemographics_ts_Attendance.disability.mobility.allowance...Instance.0_3,Do you receive any of the following? (You can select more than one answer),logical,Toggle multiple answer,3 : Blue badge
category_Sociodemographics_ts_Attendance.disability.mobility.allowance...Instance.0_1,Do you receive any of the following? (You can select more than one answer),logical,Toggle multiple answer,1 : Attendance allowance
category_Lifestyle and environment_ts_Drive.faster.than.motorway.speed.limit...Instance.0_1,How often do you drive faster than the speed limit on the motorway?,logical,Select one answer,1 : Never/rarely
category_Lifestyle and environment_ts_Drive.faster.than.motorway.speed.limit...Instance.0_4,How often do you drive faster than the speed limit on the motorway?,logical,Select one answer,4 : Most of the time
category_Lifestyle and environment_ts_Drive.faster.than.motorway.speed.limit...Instance.0_3,How often do you drive faster than the speed limit on the motorway?,logical,Select one answer,3 : Often
category_Lifestyle and environment_ts_Drive.faster.than.motorway.speed.limit...Instance.0_5,How often do you drive faster than the speed limit on the motorway?,logical,Select one answer,5 : Do not drive on the motorway
category_Lifestyle and environment_ts_Types.of.physical.activity.in.last.4.weeks...Instance.0_2,"In the last 4 weeks did you spend any time doing the following?
(You can select more than one answer)",logical,Toggle multiple answer,"2 :Other exercises (eg: swimming, cycling, keep fit, bowling)"
category_Lifestyle and environment_ts_Types.of.physical.activity.in.last.4.weeks...Instance.0_3,"In the last 4 weeks did you spend any time doing the following?
(You can select more than one answer)",logical,Toggle multiple answer,3 :Strenuous sports
category_Lifestyle and environment_ts_Types.of.physical.activity.in.last.4.weeks...Instance.0_4,"In the last 4 weeks did you spend any time doing the following?
(You can select more than one answer)",logical,Toggle multiple answer,"4 :Light DIY (eg: pruning, watering the lawn)"
category_Lifestyle and environment_ts_Types.of.physical.activity.in.last.4.weeks...Instance.0_1,"In the last 4 weeks did you spend any time doing the following?
(You can select more than one answer)",logical,Toggle multiple answer,1 :Walking for pleasure (not as a means of transport)
category_Lifestyle and environment_ts_Types.of.physical.activity.in.last.4.weeks...Instance.0_neg7,"In the last 4 weeks did you spend any time doing the following?
(You can select more than one answer)",logical,Select one answer,-7 : None of the above
category_Lifestyle and environment_ts_Duration.of.heavy.DIY...Instance.0_4,"Each time you did heavy DIY, about how long did you spend doing it?",logical,Select one answer,4 : Between 1 hour and 1A12 hours
category_Lifestyle and environment_ts_Duration.of.heavy.DIY...Instance.0_7,"Each time you did heavy DIY, about how long did you spend doing it?",logical,Select one answer,7 : Over 3 hours
category_Lifestyle and environment_ts_Duration.of.heavy.DIY...Instance.0_5,"Each time you did heavy DIY, about how long did you spend doing it?",logical,Select one answer,5 : Between 1A12 hours and 2 hours
category_Lifestyle and environment_ts_Duration.of.light.DIY...Instance.0_3,"Each time you did light DIY, about how long did you spend doing it?",logical,Select one answer,3 : Between 30 minutes and 1 hour
category_Lifestyle and environment_ts_Duration.of.light.DIY...Instance.0_4,"Each time you did light DIY, about how long did you spend doing it?",logical,Select one answer,4 : Between 1 hour and 1A12 hours
category_Lifestyle and environment_ts_Duration.of.light.DIY...Instance.0_7,"Each time you did light DIY, about how long did you spend doing it?",logical,Select one answer,7 : Over 3 hours
category_Lifestyle and environment_ts_Duration.of.moderate.activity...Instance.0_Upper.third,How many minutes did you usually spend doing moderate activities on a typical DAY?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Duration.of.moderate.activity...Instance.0_Middle.third,How many minutes did you usually spend doing moderate activities on a typical DAY?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Duration.of.other.exercises...Instance.0_4,"Each time you did other exercises such as swimming, cycling, keep fit, about how long did you spend doing them?",logical,Select one answer,4 : Between 1 hour and 1A12 hours
category_Lifestyle and environment_ts_Duration.of.other.exercises...Instance.0_2,"Each time you did other exercises such as swimming, cycling, keep fit, about how long did you spend doing them?",logical,Select one answer,2 : Between 15 and 30 minutes
category_Lifestyle and environment_ts_Duration.of.other.exercises...Instance.0_3,"Each time you did other exercises such as swimming, cycling, keep fit, about how long did you spend doing them?",logical,Select one answer,3 : Between 30 minutes and1 hour
category_Lifestyle and environment_ts_Duration.of.other.exercises...Instance.0_7,"Each time you did other exercises such as swimming, cycling, keep fit, about how long did you spend doing them?",logical,Select one answer,7 : Over 3 hours
category_Lifestyle and environment_ts_Duration.of.other.exercises...Instance.0_5,"Each time you did other exercises such as swimming, cycling, keep fit, about how long did you spend doing them?",logical,Select one answer,5 : Between 1A12 hours and 2 hours
category_Lifestyle and environment_ts_Duration.of.strenuous.sports...Instance.0_5,"Each time you did strenuous sports, about how long did you spend doing it?",logical,Select one answer,5 : Between 1A12 hours and 2 hours
category_Lifestyle and environment_ts_Duration.of.strenuous.sports...Instance.0_3,"Each time you did strenuous sports, about how long did you spend doing it?",logical,Select one answer,3 : Between 30 minutes and1 hour
category_Lifestyle and environment_ts_Duration.of.strenuous.sports...Instance.0_4,"Each time you did strenuous sports, about how long did you spend doing it?",logical,Select one answer,4 : Between 1 hour and 1A12 hours
category_Lifestyle and environment_ts_Duration.of.strenuous.sports...Instance.0_2,"Each time you did strenuous sports, about how long did you spend doing it?",logical,Select one answer,2 : Between 15 and 30 minutes
category_Lifestyle and environment_ts_Duration.of.strenuous.sports...Instance.0_6,"Each time you did strenuous sports, about how long did you spend doing it?",logical,Select one answer,6 : Between 2 and 3 hours
category_Lifestyle and environment_ts_Duration.of.vigorous.activity...Instance.0_Upper.third,How many minutes did you usually spend doing vigorous activities on a typical DAY?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Duration.of.vigorous.activity...Instance.0_Middle.third,How many minutes did you usually spend doing vigorous activities on a typical DAY?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Number.of.days.week.walked.10..minutes...Instance.0_neg2,"In a typical WEEK, on how many days did you walk for at least 10 minutes
at a time?
(Include walking that you do at work, travelling to and from
work, and for sport or leisure)",logical,Select one answer,-2 : Unable to walk
category_Lifestyle and environment_ts_Duration.of.walks...Instance.0_Upper.third,How many minutes did you usually spend walking on a typical DAY?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Duration.of.walks...Instance.0_Middle.third,How many minutes did you usually spend walking on a typical DAY?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Duration.walking.for.pleasure...Instance.0_5,"Each time you went walking for pleasure, about how long did you spend doing it?",logical,Select one answer,5 : Between 1A12 hours and 2 hours
category_Lifestyle and environment_ts_Duration.walking.for.pleasure...Instance.0_6,"Each time you went walking for pleasure, about how long did you spend doing it?",logical,Select one answer,6 : Between 2 and 3 hours
category_Lifestyle and environment_ts_Duration.walking.for.pleasure...Instance.0_1,"Each time you went walking for pleasure, about how long did you spend doing it?",logical,Select one answer,1 : Less than 15 minutes
category_Lifestyle and environment_ts_Duration.walking.for.pleasure...Instance.0_3,"Each time you went walking for pleasure, about how long did you spend doing it?",logical,Select one answer,3 : Between 30 minutes and1 hour
category_Lifestyle and environment_ts_Duration.walking.for.pleasure...Instance.0_4,"Each time you went walking for pleasure, about how long did you spend doing it?",logical,Select one answer,4 : Between 1 hour and 1A12 hours
category_Lifestyle and environment_ts_Frequency.of.heavy.DIY.in.last.4.weeks...Instance.0_1,How many times in the last 4 weeks did you do heavy DIY?,logical,Select one answer,1 : Once in the last 4 weeks
category_Lifestyle and environment_ts_Frequency.of.heavy.DIY.in.last.4.weeks...Instance.0_3,How many times in the last 4 weeks did you do heavy DIY?,logical,Select one answer,3 : Once a week
category_Lifestyle and environment_ts_Frequency.of.heavy.DIY.in.last.4.weeks...Instance.0_4,How many times in the last 4 weeks did you do heavy DIY?,logical,Select one answer,4 : 2-3 times a week
category_Lifestyle and environment_ts_Frequency.of.heavy.DIY.in.last.4.weeks...Instance.0_6,How many times in the last 4 weeks did you do heavy DIY?,logical,Select one answer,6 : Every day
category_Lifestyle and environment_ts_Frequency.of.heavy.DIY.in.last.4.weeks...Instance.0_5,How many times in the last 4 weeks did you do heavy DIY?,logical,Select one answer,5 : 4-5 times a week
category_Lifestyle and environment_ts_Frequency.of.light.DIY.in.last.4.weeks...Instance.0_3,How many times in the last 4 weeks did you do light DIY?,logical,Select one answer,3 : Once a week
category_Lifestyle and environment_ts_Frequency.of.light.DIY.in.last.4.weeks...Instance.0_2,How many times in the last 4 weeks did you do light DIY?,logical,Select one answer,2 : 2-3 times in the last 4 weeks
category_Lifestyle and environment_ts_Frequency.of.light.DIY.in.last.4.weeks...Instance.0_1,How many times in the last 4 weeks did you do light DIY?,logical,Select one answer,1 : Once in the last 4 weeks
category_Lifestyle and environment_ts_Frequency.of.light.DIY.in.last.4.weeks...Instance.0_6,How many times in the last 4 weeks did you do light DIY?,logical,Select one answer,6 : Every day
category_Lifestyle and environment_ts_Frequency.of.other.exercises.in.last.4.weeks...Instance.0_5,"How many times in the last 4 weeks did you do other exercises such as swimming, cycling, keep fit?",logical,Select one answer,5 : 4-5 times a week
category_Lifestyle and environment_ts_Frequency.of.other.exercises.in.last.4.weeks...Instance.0_4,"How many times in the last 4 weeks did you do other exercises such as swimming, cycling, keep fit?",logical,Select one answer,4 : 2-3 times a week
category_Lifestyle and environment_ts_Frequency.of.other.exercises.in.last.4.weeks...Instance.0_3,"How many times in the last 4 weeks did you do other exercises such as swimming, cycling, keep fit?",logical,Select one answer,3 : Once a week
category_Lifestyle and environment_ts_Frequency.of.other.exercises.in.last.4.weeks...Instance.0_2,"How many times in the last 4 weeks did you do other exercises such as swimming, cycling, keep fit?",logical,Select one answer,2 : 2-3 times in the last 4 weeks
category_Lifestyle and environment_ts_Frequency.of.other.exercises.in.last.4.weeks...Instance.0_1,"How many times in the last 4 weeks did you do other exercises such as swimming, cycling, keep fit?",logical,Select one answer,1 : Once in the last 4 weeks
category_Lifestyle and environment_ts_Frequency.of.stair.climbing.in.last.4.weeks...Instance.0_1,"At home, during the last 4 weeks, about how many times a DAY do you climb a flight of stairs? (approx 10 steps)",logical,Select one answer,1 : 1-5 times a day
category_Lifestyle and environment_ts_Frequency.of.stair.climbing.in.last.4.weeks...Instance.0_3,"At home, during the last 4 weeks, about how many times a DAY do you climb a flight of stairs? (approx 10 steps)",logical,Select one answer,3 : 11-15 times a day
category_Lifestyle and environment_ts_Frequency.of.stair.climbing.in.last.4.weeks...Instance.0_2,"At home, during the last 4 weeks, about how many times a DAY do you climb a flight of stairs? (approx 10 steps)",logical,Select one answer,2 : 6-10 times a day
category_Lifestyle and environment_ts_Frequency.of.stair.climbing.in.last.4.weeks...Instance.0_4,"At home, during the last 4 weeks, about how many times a DAY do you climb a flight of stairs? (approx 10 steps)",logical,Select one answer,4 : 16-20 times a day
category_Lifestyle and environment_ts_Frequency.of.stair.climbing.in.last.4.weeks...Instance.0_5,"At home, during the last 4 weeks, about how many times a DAY do you climb a flight of stairs? (approx 10 steps)",logical,Select one answer,5 : More than 20 times a day
category_Lifestyle and environment_ts_Frequency.of.stair.climbing.in.last.4.weeks...Instance.0_0,"At home, during the last 4 weeks, about how many times a DAY do you climb a flight of stairs? (approx 10 steps)",logical,Select one answer,0 : None
category_Lifestyle and environment_ts_Frequency.of.strenuous.sports.in.last.4.weeks...Instance.0_5,How many times in the last 4 weeks did you do strenuous sports?,logical,Select one answer,5 : 4-5 times a week
category_Lifestyle and environment_ts_Frequency.of.strenuous.sports.in.last.4.weeks...Instance.0_3,How many times in the last 4 weeks did you do strenuous sports?,logical,Select one answer,3 : Once a week
category_Lifestyle and environment_ts_Frequency.of.strenuous.sports.in.last.4.weeks...Instance.0_4,How many times in the last 4 weeks did you do strenuous sports?,logical,Select one answer,4 : 2-3 times a week
category_Lifestyle and environment_ts_Frequency.of.strenuous.sports.in.last.4.weeks...Instance.0_2,How many times in the last 4 weeks did you do strenuous sports?,logical,Select one answer,2 : 2-3 times in the last 4 weeks
category_Lifestyle and environment_ts_Frequency.of.strenuous.sports.in.last.4.weeks...Instance.0_1,How many times in the last 4 weeks did you do strenuous sports?,logical,Select one answer,1 : Once in the last 4 weeks
category_Lifestyle and environment_ts_Frequency.of.walking.for.pleasure.in.last.4.weeks...Instance.0_2,How many times in the last 4 weeks did you go walking for pleasure?,logical,Select one answer,2 : 2-3 times in the last 4 weeks
category_Lifestyle and environment_ts_Frequency.of.walking.for.pleasure.in.last.4.weeks...Instance.0_3,How many times in the last 4 weeks did you go walking for pleasure?,logical,Select one answer,3 : Once a week
category_Lifestyle and environment_ts_Frequency.of.walking.for.pleasure.in.last.4.weeks...Instance.0_1,How many times in the last 4 weeks did you go walking for pleasure?,logical,Select one answer,1 : Once in the last 4 weeks
category_Lifestyle and environment_ts_Types.of.transport.used..excluding.work....Instance.0_2,"In the last 4 weeks, which forms of transport have you used most often to get about?
(Not including any journeys to and from work; you can select more than one answer)",logical,Toggle multiple answer,2 : Walk
category_Lifestyle and environment_ts_Types.of.transport.used..excluding.work....Instance.0_3,"In the last 4 weeks, which forms of transport have you used most often to get about?
(Not including any journeys to and from work; you can select more than one answer)",logical,Toggle multiple answer,3 : Public transport
category_Lifestyle and environment_ts_Types.of.transport.used..excluding.work....Instance.0_1,"In the last 4 weeks, which forms of transport have you used most often to get about?
(Not including any journeys to and from work; you can select more than one answer)",logical,Toggle multiple answer,1 : Car/motor vehicle
category_Lifestyle and environment_ts_Types.of.transport.used..excluding.work....Instance.0_4,"In the last 4 weeks, which forms of transport have you used most often to get about?
(Not including any journeys to and from work; you can select more than one answer)",logical,Toggle multiple answer,4 : Cycle
category_Lifestyle and environment_ts_Types.of.transport.used..excluding.work....Instance.0_neg7,"In the last 4 weeks, which forms of transport have you used most often to get about?
(Not including any journeys to and from work; you can select more than one answer)",logical,Select one answer,-7 : None of the above
category_Lifestyle and environment_ts_Usual.walking.pace...Instance.0_2,How would you describe your usual walking pace?,logical,Select one answer,2 : Steady average pace
category_Lifestyle and environment_ts_Usual.walking.pace...Instance.0_3,How would you describe your usual walking pace?,logical,Select one answer,3 : Brisk pace
category_Lifestyle and environment_ts_Usual.walking.pace...Instance.0_1,How would you describe your usual walking pace?,logical,Select one answer,1 : Slow pace
category_Lifestyle and environment_ts_Usual.walking.pace...Instance.0_neg7,How would you describe your usual walking pace?,logical,Select one answer,-7 : None of the above
category_Lifestyle and environment_ts_Weekly.usage.of.mobile.phone.in.last.3.months...Instance.0_2,"Over the last 3 months, on average how much time per week did you spend making or receiving calls on a mobile phone?",logical,Select one answer,2 : 30-59 mins
category_Lifestyle and environment_ts_Weekly.usage.of.mobile.phone.in.last.3.months...Instance.0_3,"Over the last 3 months, on average how much time per week did you spend making or receiving calls on a mobile phone?",logical,Select one answer,3 : 1-3 hours
category_Lifestyle and environment_ts_Weekly.usage.of.mobile.phone.in.last.3.months...Instance.0_1,"Over the last 3 months, on average how much time per week did you spend making or receiving calls on a mobile phone?",logical,Select one answer,1 : 5-29 mins
category_Lifestyle and environment_ts_Weekly.usage.of.mobile.phone.in.last.3.months...Instance.0_4,"Over the last 3 months, on average how much time per week did you spend making or receiving calls on a mobile phone?",logical,Select one answer,4 : 4-6 hours
category_Lifestyle and environment_ts_Weekly.usage.of.mobile.phone.in.last.3.months...Instance.0_0,"Over the last 3 months, on average how much time per week did you spend making or receiving calls on a mobile phone?",logical,Select one answer,0 : Less than 5mins
category_Lifestyle and environment_ts_Weekly.usage.of.mobile.phone.in.last.3.months...Instance.0_5,"Over the last 3 months, on average how much time per week did you spend making or receiving calls on a mobile phone?",logical,Select one answer,5 : More than 6 hours
category_Lifestyle and environment_ts_Hands.free.device.speakerphone.use.with.mobile.phone.in.last.3.month...Instance.0_0,"Over the last 3 months, how often have you used a hands-free device/speakerphone when making or receiving calls on your mobile?",logical,Select one answer,0 : Never or almost never
category_Lifestyle and environment_ts_Hands.free.device.speakerphone.use.with.mobile.phone.in.last.3.month...Instance.0_1,"Over the last 3 months, how often have you used a hands-free device/speakerphone when making or receiving calls on your mobile?",logical,Select one answer,1 : Less than half the time
category_Lifestyle and environment_ts_Hands.free.device.speakerphone.use.with.mobile.phone.in.last.3.month...Instance.0_2,"Over the last 3 months, how often have you used a hands-free device/speakerphone when making or receiving calls on your mobile?",logical,Select one answer,2 : About half the time
category_Lifestyle and environment_ts_Difference.in.mobile.phone.use.compared.to.two.years.previously...Instance.0_1,Is there any difference between your mobile phone use now compared to two years ago?,logical,Select one answer,"1 : Yes, use is now less frequent"
category_Lifestyle and environment_ts_Difference.in.mobile.phone.use.compared.to.two.years.previously...Instance.0_2,Is there any difference between your mobile phone use now compared to two years ago?,logical,Select one answer,"2 : Yes, use is now more frequent"
category_Lifestyle and environment_ts_Difference.in.mobile.phone.use.compared.to.two.years.previously...Instance.0_3,Is there any difference between your mobile phone use now compared to two years ago?,logical,Select one answer,3 : I didn't use a mobile phone two years ago
category_Lifestyle and environment_ts_Usual.side.of.head.for.mobile.phone.use...Instance.0_2,On what side of the head do you usually use a mobile phone?,logical,Select one answer,2 : Right
category_Lifestyle and environment_ts_Usual.side.of.head.for.mobile.phone.use...Instance.0_1,On what side of the head do you usually use a mobile phone?,logical,Select one answer,1 : Left
category_Lifestyle and environment_ts_Length.of.mobile.phone.use...Instance.0_3,For approximately how many years have you been using a mobile phone at least once per week to make or receive calls?,logical,Select one answer,3 : Five to eight years
category_Lifestyle and environment_ts_Length.of.mobile.phone.use...Instance.0_0,For approximately how many years have you been using a mobile phone at least once per week to make or receive calls?,logical,Select one answer,0 : Never used mobile phone at least once per week
category_Lifestyle and environment_ts_Length.of.mobile.phone.use...Instance.0_4,For approximately how many years have you been using a mobile phone at least once per week to make or receive calls?,logical,Select one answer,4 : More than eight years
category_Lifestyle and environment_ts_Length.of.mobile.phone.use...Instance.0_2,For approximately how many years have you been using a mobile phone at least once per week to make or receive calls?,logical,Select one answer,2 : Two to four years
category_Lifestyle and environment_ts_Length.of.mobile.phone.use...Instance.0_1,For approximately how many years have you been using a mobile phone at least once per week to make or receive calls?,logical,Select one answer,1 : One year or less
category_Lifestyle and environment_ts_Plays.computer.games...Instance.0_0,Do you play computer games?,logical,Select one answer,0 : Never/rarely
category_Lifestyle and environment_ts_Getting.up.in.morning...Instance.0_3,"On an average day, how easy do you find getting up in the morning?",logical,Select one answer,3 : Fairly easy
category_Lifestyle and environment_ts_Getting.up.in.morning...Instance.0_4,"On an average day, how easy do you find getting up in the morning?",logical,Select one answer,4 : Very easy
category_Lifestyle and environment_ts_Getting.up.in.morning...Instance.0_2,"On an average day, how easy do you find getting up in the morning?",logical,Select one answer,2 : Not very easy
category_Lifestyle and environment_ts_Getting.up.in.morning...Instance.0_1,"On an average day, how easy do you find getting up in the morning?",logical,Select one answer,1 : Not at all easy
